название,фамилия_автора,инициалы_автора,название_журнала,год_публикации,номер_тома,в_ринц,количество_страниц,количество_цитирований
Я,Голубев,Л.Б.,самый,1784,17,0,513,989
путь,Лебедев,Т.Д.,ближних,1763,10,0,538,662
доброты,Тимофеев,В.К.,тебя,1872,30,0,511,51
ему,Емельянов,Е.О,И,1803,46,1,526,650
труден,Артемьев,Л.Б.,ближних,1995,14,0,539,167
пастырь,Сидоров,Е.О,моим,1730,30,0,554,785
имя,Кошелев,А.С.,самый,1692,36,1,548,304
путь,Баранов,М.Р.,моим,2009,13,1,553,105
препятствуют,Ефимов,Е.О,когда,1854,44,0,523,570
Я,Титов,Ю.Ф.,ибо,1916,20,0,524,903
и,Павлов,Ф.Ч.,Господь,1764,46,0,543,306
тьмы,Ширяев,Ю.Ф.,и,1833,14,1,543,313
людей,Козлов,Ю.Ф.,кто,2019,4,1,539,280
путь,Бирюков,И.П.,моё,1696,10,0,519,986
сквозь,Потапов,У.Х.,и,1936,8,0,516,434
себялюбивые,Казаков,О.Г.,совершу,1781,14,1,530,249
ему,Фролов,А.С.,ближних,2019,12,1,534,260
тот,Поляков,Я.З.,и,1962,3,0,553,492
труден,Третьяков,Е.О,над,1892,5,0,551,552
милосердия,Афанасьев,Д.Л.,кто,1702,36,1,521,83
себялюбивые,Малышев,Н.В.,ибо,1988,25,0,521,253
праведника,Емельянов,М.Р.,наказаниями,1877,39,0,532,435
пастырь,Колесников,Б.Т.,моим,1835,4,1,510,346
Я,Демин,Л.Б.,яростными,1729,4,1,548,246
них,Калашников,Д.Л.,совершу,1824,49,1,516,983
ведет,Ширяев,Г.У.,кто,1866,27,1,537,174
имя,Третьяков,Н.В.,теми,1836,14,0,540,914
за,Артемьев,С.А.,моим,1967,7,1,523,332
ибо,Ильин,К.М.,имя,1867,43,0,524,461
ведет,Макаров,В.К.,и,1953,19,1,537,262
и,Зайцев,К.М.,самый,1923,49,1,523,440
во,Жуков,Ю.Ф.,Господь,1692,47,1,548,102
доброты,Медведев,Ю.Ф.,моим,1956,49,1,549,195
труден,Власов,О.Г.,и,1702,46,0,511,503
говорит,Галкин,Б.Т.,печется,1730,14,0,538,250
долину,Сидоров,Б.Т.,моим,1826,50,1,548,774
кто,Комаров,М.Р.,кто,1927,19,1,533,218
себялюбивые,Васильев,В.К.,что,1671,44,0,514,311
логическим,Трофимов,Ф.Ч.,кто,2016,13,0,515,752
ведет,Ершов,А.С.,что,1982,12,1,535,444
людей,Фёдоров,О.Г.,воистину,1826,18,0,548,396
Блажен,Потапов,Ю.Ф.,мщение,1987,34,1,536,959
праведника,Демин,Ю.Ф.,падёт,1818,36,1,547,755
доброты,Ковалёв,В.К.,воистину,2010,31,1,531,572
препятствуют,Рыбаков,К.М.,узнаешь,1973,15,1,522,369
курса,Пименов,О.Г.,мщение,1830,34,0,531,233
пастырь,Борисов,Д.Л.,тот,1881,22,1,554,328
и,Баранов,Г.У.,именно,1987,5,1,532,599
Это,Воронов,Я.З.,Господь,1918,29,0,510,426
ведет,Устинов,И.П.,на,1684,25,1,511,298
кто,Калашников,И.П.,и,1987,7,0,545,984
Я,Гаврилов,М.Р.,тот,1668,40,0,528,176
кто,Фёдоров,Ю.Ф.,моё,2013,47,0,518,989
тирания,Алексеев,Р.Н.,падёт,1803,16,1,553,810
Блажен,Шестаков,И.П.,над,1765,48,0,511,27
праведника,Кузнецов,Г.У.,мщение,1851,20,0,532,625
имя,Попов,Ю.Ф.,ты,2004,29,0,541,9
тот,Королёв,О.Г.,кто,1701,8,1,551,176
препятствуют,Жуков,К.М.,на,1927,27,0,550,718
заочно,Матвеев,И.П.,И,1844,34,1,553,854
них,Ершов,Я.З.,и,1723,45,1,528,700
праведника,Колесников,К.М.,ты,1837,36,0,535,770
зависть,Щербаков,Ф.Ч.,воистину,1874,10,0,550,945
говорит,Яковлев,Я.З.,что,1717,27,1,514,977
препятствуют,Попов,У.Х.,над,1921,24,1,511,242
логическим,Комаров,М.Р.,воистину,1713,15,0,547,228
слабых,Карпов,Я.З.,совершу,1687,10,0,515,637
курса,Гаврилов,У.Х.,и,1985,12,1,552,791
зависть,Шилов,И.П.,воистину,1742,18,0,536,96
людей,Власов,С.А.,замыслит,1920,7,0,547,775
пастырь,Романов,Н.В.,моё,1769,10,1,543,548
и,Крылов,Р.Н.,кто,1807,23,0,532,34
ведет,Семёнов,Н.В.,своих,1904,43,1,530,721
по,Наумов,П.И.,тебя,1821,19,1,544,190
До,Богданов,Д.Л.,падёт,1749,24,0,516,851
во,Рыбаков,Ю.Ф.,братьям,1869,13,0,554,207
злых,Алексеев,Д.Л.,ибо,1988,10,0,546,183
слабых,Соколов,Е.О,отравить,1891,12,1,513,732
себялюбивые,Власов,И.П.,на,1896,13,1,523,757
исчислениям,Емельянов,Б.Т.,о,2008,16,0,554,417
за,Рябов,Е.О,на,1807,43,1,521,525
себялюбивые,Михеев,Р.Н.,великое,1738,40,0,518,561
и,Григорьев,Я.З.,ними,1665,50,0,538,760
людей,Козлов,С.А.,моим,1934,11,0,541,951
слабых,Игнатьев,Д.Л.,мщение,1796,46,0,512,300
логическим,Ушаков,Б.Т.,падёт,1962,20,1,516,358
ведет,Захаров,В.К.,мщение,1839,50,0,525,197
милосердия,Галкин,Е.О,великое,1831,25,0,522,947
сквозь,Соболев,Б.Т.,повредить,1695,25,1,525,611
во,Зимин,С.А.,когда,2022,17,0,549,525
по,Емельянов,И.П.,падёт,1853,48,0,552,83
пастырь,Блинов,Т.Д.,самый,1919,50,0,517,275
курса,Русаков,Н.В.,моё,1698,2,1,526,444
ему,Рожков,В.К.,падёт,2020,4,1,541,989
Это,Алексеев,Л.Б.,великое,1715,22,1,548,549
путь,Кондратьев,У.Х.,самый,1680,7,1,546,685
слабых,Коновалов,Д.Л.,падёт,1727,5,0,528,843
людей,Яковлев,Т.Д.,мщение,1788,16,0,545,966
кто,Алексеев,Я.З.,моё,1784,32,0,549,140
во,Кондратьев,М.Р.,великое,1824,2,0,529,925
