название,фамилия_автора,инициалы_автора,название_журнала,год_публикации,номер_тома,в_ринц,количество_страниц,количество_цитирований
и,Григорьев,Я.З.,ними,1665,50,0,538,760
Я,Гаврилов,М.Р.,тот,1668,40,0,528,176
себялюбивые,Васильев,В.К.,что,1671,44,0,514,311
путь,Кондратьев,У.Х.,самый,1680,7,1,546,685
ведет,Устинов,И.П.,на,1684,25,1,511,298
слабых,Карпов,Я.З.,совершу,1687,10,0,515,637
во,Жуков,Ю.Ф.,Господь,1692,47,1,548,102
имя,Кошелев,А.С.,самый,1692,36,1,548,304
сквозь,Соболев,Б.Т.,повредить,1695,25,1,525,611
путь,Бирюков,И.П.,моё,1696,10,0,519,986
курса,Русаков,Н.В.,моё,1698,2,1,526,444
тот,Королёв,О.Г.,кто,1701,8,1,551,176
милосердия,Афанасьев,Д.Л.,кто,1702,36,1,521,83
труден,Власов,О.Г.,и,1702,46,0,511,503
логическим,Комаров,М.Р.,воистину,1713,15,0,547,228
Это,Алексеев,Л.Б.,великое,1715,22,1,548,549
говорит,Яковлев,Я.З.,что,1717,27,1,514,977
них,Ершов,Я.З.,и,1723,45,1,528,700
слабых,Коновалов,Д.Л.,падёт,1727,5,0,528,843
Я,Демин,Л.Б.,яростными,1729,4,1,548,246
говорит,Галкин,Б.Т.,печется,1730,14,0,538,250
пастырь,Сидоров,Е.О,моим,1730,30,0,554,785
себялюбивые,Михеев,Р.Н.,великое,1738,40,0,518,561
зависть,Шилов,И.П.,воистину,1742,18,0,536,96
До,Богданов,Д.Л.,падёт,1749,24,0,516,851
путь,Лебедев,Т.Д.,ближних,1763,10,0,538,662
и,Павлов,Ф.Ч.,Господь,1764,46,0,543,306
Блажен,Шестаков,И.П.,над,1765,48,0,511,27
пастырь,Романов,Н.В.,моё,1769,10,1,543,548
себялюбивые,Казаков,О.Г.,совершу,1781,14,1,530,249
кто,Алексеев,Я.З.,моё,1784,32,0,549,140
Я,Голубев,Л.Б.,самый,1784,17,0,513,989
людей,Яковлев,Т.Д.,мщение,1788,16,0,545,966
слабых,Игнатьев,Д.Л.,мщение,1796,46,0,512,300
ему,Емельянов,Е.О,И,1803,46,1,526,650
тирания,Алексеев,Р.Н.,падёт,1803,16,1,553,810
и,Крылов,Р.Н.,кто,1807,23,0,532,34
за,Рябов,Е.О,на,1807,43,1,521,525
праведника,Демин,Ю.Ф.,падёт,1818,36,1,547,755
по,Наумов,П.И.,тебя,1821,19,1,544,190
во,Кондратьев,М.Р.,великое,1824,2,0,529,925
них,Калашников,Д.Л.,совершу,1824,49,1,516,983
людей,Фёдоров,О.Г.,воистину,1826,18,0,548,396
долину,Сидоров,Б.Т.,моим,1826,50,1,548,774
курса,Пименов,О.Г.,мщение,1830,34,0,531,233
милосердия,Галкин,Е.О,великое,1831,25,0,522,947
тьмы,Ширяев,Ю.Ф.,и,1833,14,1,543,313
пастырь,Колесников,Б.Т.,моим,1835,4,1,510,346
имя,Третьяков,Н.В.,теми,1836,14,0,540,914
праведника,Колесников,К.М.,ты,1837,36,0,535,770
ведет,Захаров,В.К.,мщение,1839,50,0,525,197
заочно,Матвеев,И.П.,И,1844,34,1,553,854
праведника,Кузнецов,Г.У.,мщение,1851,20,0,532,625
по,Емельянов,И.П.,падёт,1853,48,0,552,83
препятствуют,Ефимов,Е.О,когда,1854,44,0,523,570
ведет,Ширяев,Г.У.,кто,1866,27,1,537,174
ибо,Ильин,К.М.,имя,1867,43,0,524,461
во,Рыбаков,Ю.Ф.,братьям,1869,13,0,554,207
доброты,Тимофеев,В.К.,тебя,1872,30,0,511,51
зависть,Щербаков,Ф.Ч.,воистину,1874,10,0,550,945
праведника,Емельянов,М.Р.,наказаниями,1877,39,0,532,435
пастырь,Борисов,Д.Л.,тот,1881,22,1,554,328
слабых,Соколов,Е.О,отравить,1891,12,1,513,732
труден,Третьяков,Е.О,над,1892,5,0,551,552
